path_x,path_y
0.035641,-0.04
0.070376,-0.08
0.11205,-0.12
0.160758,-0.16
0.216359,-0.25
0.279968,-0.34
0.347436,-0.43
0.4225,-0.52
0.503536,-0.61
0.589973,-0.7
0.681608,-0.79
0.778279,-0.88
0.87983,-0.99
0.986108,-1.1
1.096965,-1.21
1.212259,-1.32
1.33185,-1.43
1.455605,-1.54
1.583382,-1.65
1.715018,-1.76
1.850345,-1.87
1.989031,-1.98
2.13086,-2.000005
2.275566,-2.000007
2.422981,-2.000009
2.572987,-2.000012
2.725468,-2.000014
2.880347,-2.000017
3.037549,-2.000019
3.197002,-2.000022
3.358638,-2.000032
3.522375,-2.000151
3.687934,-2.000576
3.855308,-2.00161
4.024488,-2.003354
4.195436,-2.005752
4.368167,-2.008587
4.556514,-2.01182
4.711611,-2.01441
4.896222,-2.017158
5.074572,-2.019478
5.253432,-2.021546
5.432749,-2.023722
5.612728,-2.025794
5.793428,-2.027762
5.978514,-2.029673
6.160796,-2.031516
6.343333,-2.033586
6.522697,-2.035613
6.706217,-2.037731
6.893877,-2.039909
7.074584,-2.042016
7.259347,-2.044169
7.448179,-2.046365
7.629951,-2.048471
7.815769,-2.050619
8.001915,-2.052768
8.188373,-2.054922
8.375085,-2.057078
8.562028,-2.059237
8.749193,-2.061398
8.936574,-2.063562
9.124165,-2.065728
9.311959,-2.067896
9.49995,-2.070067
9.68813,-2.07224
9.876496,-2.074414
10.06504,-2.076591
10.253757,-2.07877
10.442642,-2.08095
10.631689,-2.083132
10.820894,-2.085317
11.010236,-2.087502
11.199663,-2.089689
11.389151,-2.091876
11.58244,-2.094107
11.768141,-2.09625
11.957573,-2.098437
12.146945,-2.100623
12.336258,-2.102808
12.525514,-2.104992
12.714716,-2.107176
12.903864,-2.10936
13.09296,-2.111542
13.282006,-2.113724
13.471004,-2.115906
13.659955,-2.118087
13.848861,-2.120268
14.037722,-2.122448
14.226541,-2.124627
14.415318,-2.126806
14.604055,-2.128985
14.792754,-2.131163
14.981415,-2.133341
15.173811,-2.135562
15.358628,-2.137695
15.545977,-2.139858
15.728049,-2.14196
15.904661,-2.144004
16.075985,-2.146002
16.242188,-2.147971
16.403429,-2.149928
16.561053,-2.151896
16.719198,-2.153925
16.878189,-2.156013
17.037999,-2.15815
17.19859,-2.160324
17.359888,-2.162523
17.521853,-2.164739
17.684413,-2.166967
17.847546,-2.169205
18.011234,-2.17145
18.178748,-2.173747
18.343503,-2.176006
18.508763,-2.17827
18.67451,-2.180541
18.84073,-2.182819
19.004066,-2.185056
19.171123,-2.187345
19.338542,-2.189639
19.506314,-2.191938
19.674427,-2.194241
19.846242,-2.196595
20.015012,-2.198908
20.184091,-2.201225
20.353471,-2.203545
20.526538,-2.205917
20.689692,-2.208152
20.859912,-2.210485
21.030396,-2.212821
21.201137,-2.21516
21.372126,-2.217503
21.543356,-2.219849
21.714819,-2.222199
21.886508,-2.224551
22.068736,-2.227049
22.230535,-2.229266
22.402558,-2.231623
22.570633,-2.233926
22.733686,-2.23616
22.891873,-2.238326
23.045346,-2.240424
23.194254,-2.242454
23.341582,-2.244457
23.481695,-2.246355
23.617659,-2.248191
23.749603,-2.24997
23.875129,-2.251659
23.99948,-2.253331
24.122552,-2.254986
24.237325,-2.256529
24.351043,-2.258057
24.461436,-2.259542
24.568608,-2.260983
24.674708,-2.26241
24.773685,-2.263742
24.871783,-2.265061
24.967043,-2.266342
25.059554,-2.267587
25.152249,-2.268833
25.248035,-2.270122
25.346821,-2.27145
25.448557,-2.272819
25.555533,-2.274257
25.661394,-2.275681
25.774801,-2.277206
25.889152,-2.278744
26.004166,-2.28029
26.124442,-2.281908
26.250102,-2.283597
26.373661,-2.285259
26.502524,-2.286991
26.63411,-2.28876
26.768334,-2.290565
26.905113,-2.292404
27.044367,-2.294275
27.18602,-2.296179
27.329997,-2.298115
27.476224,-2.30008
27.624632,-2.302074
27.775152,-2.304096
27.927719,-2.306146
28.088491,-2.308306
28.241888,-2.310367
28.400256,-2.312494
28.560426,-2.314645
28.725596,-2.316864
28.882658,-2.318973
29.04787,-2.321192
29.214456,-2.323428
29.377892,-2.325623
29.536451,-2.327752
29.690285,-2.329818
29.83954,-2.331822
29.984361,-2.333767
30.124886,-2.335654
30.261248,-2.337487
30.393578,-2.339266
30.522002,-2.340993
30.646641,-2.342669
30.767614,-2.344296
30.888288,-2.34592
31.012002,-2.347584
31.138669,-2.349288
31.268195,-2.351031
31.400492,-2.352811
31.535474,-2.354627
31.673056,-2.356477
31.813156,-2.358362
31.955698,-2.36028
32.100604,-2.362229
32.2478,-2.364209
32.397216,-2.366219
32.551833,-2.368299
32.702428,-2.370325
32.858094,-2.372419
33.018886,-2.374582
33.175438,-2.376688
33.337509,-2.378869
33.501883,-2.38108
33.668489,-2.383321
33.837257,-2.385592
34.00812,-2.38789
34.181012,-2.390216
34.35587,-2.392569
34.532632,-2.394947
34.71124,-2.39735
34.891635,-2.399777
35.073761,-2.402227
35.257565,-2.4047
35.442995,-2.407195
35.629998,-2.409711
35.818528,-2.412247
36.008534,-2.414804
36.203816,-2.417431
36.392798,-2.419974
36.586966,-2.422586
36.782036,-2.42521
36.972835,-2.427777
37.157903,-2.430267
37.337418,-2.432682
37.511554,-2.435025
37.680477,-2.437298
37.844352,-2.439502
38.003336,-2.441641
38.157581,-2.443715
38.307235,-2.445728
38.452442,-2.447681
38.59334,-2.449577
38.730065,-2.451416
38.862746,-2.4532
38.991509,-2.454932
39.116478,-2.456613
39.23777,-2.458244
39.3555,-2.459828
39.46978,-2.461365
39.580716,-2.462857
39.688415,-2.464306
39.792975,-2.465712
39.89449,-2.467078
39.99304,-2.468403
40.088701,-2.46969
40.18502,-2.470985
40.283509,-2.47231
40.386475,-2.473695
40.49393,-2.47514
40.608129,-2.476676
40.719744,-2.478178
40.840141,-2.479797
40.964624,-2.481472
41.093064,-2.483199
41.225338,-2.484978
41.364084,-2.486844
41.503746,-2.488723
41.646933,-2.490649
41.793546,-2.492621
41.943479,-2.494637
42.093533,-2.496655
42.249735,-2.498756
42.408957,-2.500897
42.571104,-2.503078
42.736086,-2.505296
42.903813,-2.507552
43.074201,-2.509843
43.247165,-2.512169
43.422626,-2.514528
43.600506,-2.516919
43.780728,-2.519342
43.963221,-2.521795
44.147913,-2.524278
44.334734,-2.526789
44.52362,-2.529328
44.714506,-2.531893
44.907328,-2.534485
45.105939,-2.537154
45.302492,-2.539795
45.496821,-2.542406
45.696805,-2.545093
45.898442,-2.547802
46.101681,-2.550532
46.306471,-2.553281
46.512763,-2.556039
46.720512,-2.558787
46.929672,-2.561508
47.140199,-2.564192
47.352051,-2.566828
47.569462,-2.569454
47.779565,-2.571903
47.995148,-2.574321
48.212188,-2.576479
48.432236,-2.57881
48.645492,-2.581034
48.864739,-2.583242
49.086898,-2.585564
49.301433,-2.58767
49.52163,-2.589586
49.742428,-2.59111
49.959279,-2.592272
50.174741,-2.5927
50.39838,-2.59314
50.620539,-2.592919
50.843373,-2.592351
51.071458,-2.591486
51.290463,-2.590107
51.51585,-2.587899
51.739756,-2.585034
51.964585,-2.581679
52.189852,-2.578042
52.415713,-2.573838
52.642641,-2.568879
52.869573,-2.563083
53.097392,-2.556871
53.32331,-2.550577
53.551472,-2.543734
53.780285,-2.536634
54.009731,-2.529334
54.239638,-2.521704
54.468872,-2.513407
54.699752,-2.50424
54.929272,-2.49478
55.159489,-2.48473
55.390062,-2.474325
55.621121,-2.463293
55.853039,-2.451606
56.084961,-2.439047
56.334367,-2.424968
56.54695,-2.41246
56.779113,-2.398323
57.011739,-2.383706
57.244687,-2.367781
57.477946,-2.350878
57.711155,-2.33332
57.944403,-2.315322
58.177196,-2.29649
58.410426,-2.276749
58.643894,-2.256212
58.87777,-2.234717
59.112188,-2.212298
59.346526,-2.188738
59.578903,-2.164385
59.812995,-2.138716
60.042695,-2.112564
60.28224,-2.084438
60.517356,-2.055975
60.751591,-2.02657
60.987458,-1.995725
61.220948,-1.964744
61.451277,-1.933433
61.674455,-1.902792
61.89059,-1.872752
62.10078,-1.843022
62.304281,-1.813775
62.502102,-1.784684
62.69505,-1.755687
62.890838,-1.726909
63.088189,-1.698139
63.291038,-1.66943
63.487269,-1.64207
63.688579,-1.614252
63.890514,-1.586408
64.094678,-1.558838
64.298213,-1.531746
64.503521,-1.504481
64.709978,-1.477225
64.921851,-1.4492
65.126652,-1.421904
65.336815,-1.39379
65.547701,-1.365094
65.757475,-1.336455
65.969068,-1.307138
66.181939,-1.277186
66.400123,-1.246216
66.614939,-1.215242
66.830522,-1.183731
67.04568,-1.15139
67.262128,-1.118181
67.478296,-1.084101
67.690787,-1.050157
67.908185,-1.014795
68.126287,-0.978377
68.345476,-0.940934
68.564602,-0.902305
68.788423,-0.861937
69.006547,-0.822211
69.222301,-0.781526
69.469744,-0.733821
69.669119,-0.694319
69.886663,-0.650415
70.108323,-0.604862
70.331098,-0.558041
